city,fuelType,year,month,rsp
Kolkata,Diesel,2024,9,90.76
Kolkata,Diesel,2024,10,90.76
Kolkata,Diesel,2024,11,90.76
Kolkata,Diesel,2024,12,90.76
Chennai,Petrol,2024,1,102.63
Chennai,Petrol,2024,2,102.63
Chennai,Petrol,2024,3,102.63
Chennai,Petrol,2024,4,100.75
Chennai,Petrol,2024,5,100.75
Chennai,Petrol,2024,6,100.75
Chennai,Petrol,2024,7,100.75
Chennai,Petrol,2024,8,100.75
Chennai,Petrol,2024,9,100.75
Chennai,Petrol,2024,10,100.75
Chennai,Petrol,2024,11,100.75
Chennai,Petrol,2024,12,100.75
Chennai,Diesel,2024,1,94.24
Chennai,Diesel,2024,2,94.24
Chennai,Diesel,2024,3,94.24
Chennai,Diesel,2024,4,92.34
Chennai,Diesel,2024,5,92.34
Chennai,Diesel,2024,6,92.34
Chennai,Diesel,2024,7,92.34
Chennai,Diesel,2024,8,92.34
Chennai,Diesel,2024,9,92.34
Chennai,Diesel,2024,10,92.34
Chennai,Diesel,2024,11,92.34
Chennai,Diesel,2024,12,92.34
Delhi,Petrol,2025,1,94.72
Delhi,Petrol,2025,2,94.72
Delhi,Petrol,2025,3,94.72
Delhi,Petrol,2025,4,94.72
Delhi,Petrol,2025,5,94.72
Delhi,Petrol,2025,6,94.72
Delhi,Petrol,2025,7,94.72
Delhi,Petrol,2025,8,94.72
Delhi,Petrol,2025,9,94.72
Delhi,Petrol,2025,10,94.72
Delhi,Petrol,2025,11,94.72
Delhi,Petrol,2025,12,94.72
Delhi,Diesel,2025,1,87.62
Delhi,Diesel,2025,2,87.62
Delhi,Diesel,2025,3,87.62
Delhi,Diesel,2025,4,87.62
Delhi,Diesel,2025,5,87.62
Delhi,Diesel,2025,6,87.62
Delhi,Diesel,2025,7,87.62
Delhi,Diesel,2025,8,87.62
Delhi,Diesel,2025,9,87.62
Delhi,Diesel,2025,10,87.62
Delhi,Diesel,2025,11,87.62
Delhi,Diesel,2025,12,
Mumbai,Petrol,2025,1,104.21
Mumbai,Petrol,2025,2,104.21
Mumbai,Petrol,2025,3,104.21
Mumbai,Petrol,2025,4,104.21
Mumbai,Petrol,2025,5,104.21
Mumbai,Petrol,2025,6,104.21
Mumbai,Petrol,2025,7,104.21
Mumbai,Petrol,2025,8,104.21
Mumbai,Petrol,2025,9,104.21
Mumbai,Petrol,2025,10,104.21
Mumbai,Petrol,2025,11,104.21
Mumbai,Petrol,2025,12,104.21
Mumbai,Diesel,2025,1,92.15
Mumbai,Diesel,2025,2,92.15
Mumbai,Diesel,2025,3,92.15
Mumbai,Diesel,2025,4,92.15
Mumbai,Diesel,2025,5,92.15
Mumbai,Diesel,2025,6,92.15
Mumbai,Diesel,2025,7,92.15
Mumbai,Diesel,2025,8,92.15
Mumbai,Diesel,2025,9,92.15
Mumbai,Diesel,2025,10,92.15
Mumbai,Diesel,2025,11,92.15
Mumbai,Diesel,2025,12,92.15
Kolkata,Petrol,2025,1,103.94
Kolkata,Petrol,2025,2,103.94
Kolkata,Petrol,2025,3,103.94
Kolkata,Petrol,2025,4,103.94
Kolkata,Petrol,2025,5,103.94
Kolkata,Petrol,2025,6,103.94
Kolkata,Petrol,2025,7,103.94
Kolkata,Petrol,2025,8,103.94
Kolkata,Petrol,2025,9,103.94
Kolkata,Petrol,2025,10,103.94
Kolkata,Petrol,2025,11,103.94
Kolkata,Petrol,2025,12,103.94
Kolkata,Diesel,2025,1,90.76
Kolkata,Diesel,2025,2,90.76
Kolkata,Diesel,2025,3,90.76
Kolkata,Diesel,2025,4,90.76
Kolkata,Diesel,2025,5,90.76
Kolkata,Diesel,2025,6,90.76
Kolkata,Diesel,2025,7,90.76
Kolkata,Diesel,2025,8,90.76
Kolkata,Diesel,2025,9,90.76
Kolkata,Diesel,2025,10,90.76
Kolkata,Diesel,2025,11,90.76
Kolkata,Diesel,2025,12,90.76
Chennai,Petrol,2025,1,100.75
Chennai,Petrol,2025,2,100.75
Chennai,Petrol,2025,3,100.75
Chennai,Petrol,2025,4,100.75
Chennai,Petrol,2025,5,100.75
Chennai,Petrol,2025,6,100.75
Chennai,Petrol,2025,7,100.75
Chennai,Petrol,2025,8,100.75
Chennai,Petrol,2025,9,100.75
Chennai,Petrol,2025,10,100.75
Chennai,Petrol,2025,11,100.75
Chennai,Petrol,2025,12,100.75
Chennai,Diesel,2025,1,92.34
Chennai,Diesel,2025,2,92.34
Chennai,Diesel,2025,3,92.34
Chennai,Diesel,2025,4,92.34
Chennai,Diesel,2025,5,92.34
Chennai,Diesel,2025,6,92.34
Chennai,Diesel,2025,7,92.34
Chennai,Diesel,2025,8,92.34
Chennai,Diesel,2025,9,92.34
Chennai,Diesel,2025,10,92.34
Chennai,Diesel,2025,11,92.34
Chennai,Diesel,2025,12,92.34
